"","gene_id","gene_short_name","partition","marker_score","mean_expression","fraction_expressing","specificity","pseudo_R2","marker_test_p_value","marker_test_q_value","partition_assignment"
"133","ENSG00000115590","IL1R2","5",0.807721255714974,3.33127470249935,0.85480572597137,0.944917928336417,0.694542814677124,4.20894026660399e-240,1.40540724442174e-234,"Mono2"
"134","ENSG00000018280","SLC11A1","5",0.371573247955918,1.47940002436073,0.717791411042945,0.51766187535739,0.32821814202889,6.4284288687082e-114,2.14651668355036e-108,"Mono2"
"135","ENSG00000109321","AREG","5",0.47543119753913,4.0763118392981,0.674846625766871,0.704502592717075,0.371107592075981,1.2555744331771e-128,4.19248858982164e-123,"Mono2"
"136","ENSG00000151726","ACSL1","5",0.450942046296525,1.81285285277632,0.783231083844581,0.575745850232377,0.462332352121149,5.73290203284539e-160,1.9142733177874e-154,"Mono2"
"137","ENSG00000038427","VCAN","5",0.46176708474147,3.38136130312862,0.869120654396728,0.531303775149597,0.496718531443616,8.41286378199345e-172,2.80913934544543e-166,"Mono2"
"138","ENSG00000105835","NAMPT","5",0.419561536207795,2.81437718375923,0.897750511247444,0.467347588167681,0.483075800319455,4.18022642491852e-167,1.39581940554454e-161,"Mono2"
"139","ENSG00000221869","CEBPD","5",0.445099629283889,2.13992413020975,0.822085889570552,0.541427160994582,0.431822662481911,1.77215191212673e-149,5.91739244978237e-144,"Mono2"
"140","ENSG00000085265","FCN1","5",0.378013988949192,5.03651437735083,0.936605316973415,0.403600088637893,0.479090536444487,9.83376333545587e-166,3.28359191534207e-160,"Mono2"
"141","ENSG00000177575","CD163","5",0.708280194950788,2.34297710092911,0.846625766871166,0.836591824470859,0.649341356967644,1.83875733449734e-224,6.13979461562007e-219,"Mono2"
"142","ENSG00000166523","CLEC4E","5",0.405863860377087,0.838766038812868,0.578732106339468,0.70129833118161,0.319392925224703,6.80546361496376e-111,2.27241235567255e-105,"Mono2"
"143","ENSG00000090382","LYZ","5",0.478073765345144,26.8370130232438,0.997955010224949,0.479053424700359,0.683368954845036,3.10739349572192e-236,1.03758976215651e-230,"Mono2"
"144","ENSG00000137801","THBS1","5",0.589104613080984,8.54127137169797,0.975460122699387,0.603924854919499,0.695151652671213,2.59039520619073e-240,8.64958863299148e-235,"Mono2"
"145","ENSG00000125148","MT2A","5",0.470555445902551,8.10330901180577,0.815950920245399,0.576695772045984,0.343788393228713,2.95107672534569e-119,9.8539402936018e-114,"Mono2"
"146","ENSG00000204103","MAFB","5",0.491594314368324,2.26844708930824,0.789366053169734,0.622771035559872,0.449561742336958,1.4136341556902e-155,4.72026580926513e-150,"Mono2"
"147","ENSG00000011422","PLAUR","5",0.4406506016482,2.25749736979795,0.764826175869121,0.576144770604197,0.394492097120498,1.18091596628477e-136,3.94319650302147e-131,"Mono2"
"148","ENSG00000100300","TSPO","5",0.387746983414737,4.36770218462918,0.946830265848671,0.409521112073016,0.445096826687295,4.84747460952934e-154,1.61862024686794e-148,"Mono2"
"149","ENSG00000155307","SAMSN1","5",0.465815649267828,1.65466692647932,0.750511247443763,0.620664448206997,0.438513138196967,8.88909741013862e-152,2.96815851621939e-146,"Mono2"
"150","ENSG00000157557","ETS2","5",0.418112968665774,1.13828769397461,0.638036809815951,0.655311672043473,0.342801596823304,6.43214093361681e-119,2.14775617914399e-113,"Mono2"
"151","ENSG00000158710","TAGLN2","6",0.601369603159679,32.864466622188,1,0.601369603159679,0.91778402667667,3.62464261600079e-178,1.21030441590882e-172,"Plt"
"152","ENSG00000150681","RGS18","6",0.718214647778408,10.4240452650329,0.806629834254144,0.890389392108849,0.610941675289635,5.69736208655361e-119,1.90240617432112e-113,"Plt"
"153","ENSG00000168497","CAVIN2","6",0.881706531641427,17.667512838081,0.950276243093923,0.927842338529641,0.859113580127665,7.93018382135972e-167,2.64796767979023e-161,"Plt"
"154","ENSG00000127824","TUBA4A","6",0.603320719247089,11.3498876908647,0.867403314917127,0.695548090342185,0.546153317108588,1.66412373313723e-106,5.55667555731854e-101,"Plt"
"155","ENSG00000169704","GP9","6",0.826978361053316,12.4039703920662,0.883977900552486,0.935519270941564,0.741807368199898,3.48363966828385e-144,1.16322212163666e-138,"Plt"
"156","ENSG00000163737","PF4","6",0.861455831415058,17.7097754579208,0.950276243093923,0.906532008640265,0.84846910498122,9.02772992833497e-165,3.01444930037033e-159,"Plt"
"157","ENSG00000163736","PPBP","6",0.92851076146507,101.356789017036,0.994475138121547,0.93366915458432,0.934409734669849,2.20753235462194e-181,7.37117128531814e-176,"Plt"
"158","ENSG00000113140","SPARC","6",0.854418605616779,14.2283230883038,0.92817679558011,0.92053433105141,0.818325553355232,5.98237483818721e-159,1.99757478221909e-153,"Plt"
"159","ENSG00000124491","F13A1","6",0.733524045401069,10.7712346308232,0.87292817679558,0.840302862136668,0.673418447319209,5.30065352738325e-131,1.76994121932854e-125,"Plt"
"160","ENSG00000180573","HIST1H2AC","6",0.75652310262699,16.9395939013475,0.867403314917127,0.87216994634067,0.669718802682109,2.73576911877109e-130,9.13500666448855e-125,"Plt"
"161","ENSG00000204420","MPIG6B","6",0.84971532085675,13.1486324150774,0.922651933701657,0.920948940569292,0.820163570545288,2.64237415236073e-159,8.82315153214771e-154,"Plt"
